trade_date,model,top_group_count,overlap_count,turnover
2020-05-26,composite_pca_neutral,9,8.0,0.11111111111111116
2020-05-27,composite_pca_neutral,9,8.0,0.11111111111111116
2020-05-28,composite_pca_neutral,9,8.0,0.11111111111111116
2020-05-29,composite_pca_neutral,9,6.0,0.33333333333333337
2020-06-01,composite_pca_neutral,9,7.0,0.2222222222222222
2020-06-02,composite_pca_neutral,9,7.0,0.2222222222222222
2020-06-03,composite_pca_neutral,9,7.0,0.2222222222222222
2020-06-04,composite_pca_neutral,9,7.0,0.2222222222222222
2020-06-05,composite_pca_neutral,9,6.0,0.33333333333333337
2020-06-08,composite_pca_neutral,9,5.0,0.4444444444444444
2020-06-09,composite_pca_neutral,9,7.0,0.2222222222222222
2020-06-10,composite_pca_neutral,9,7.0,0.2222222222222222
2020-06-11,composite_pca_neutral,9,7.0,0.2222222222222222
2020-06-12,composite_pca_neutral,9,7.0,0.2222222222222222
2020-06-15,composite_pca_neutral,9,7.0,0.2222222222222222
2020-06-16,composite_pca_neutral,9,6.0,0.33333333333333337
2020-06-17,composite_pca_neutral,9,9.0,0.0
2020-06-18,composite_pca_neutral,9,7.0,0.2222222222222222
2020-06-19,composite_pca_neutral,9,6.0,0.33333333333333337
2020-06-22,composite_pca_neutral,9,7.0,0.2222222222222222
2020-06-23,composite_pca_neutral,9,8.0,0.11111111111111116
2020-06-24,composite_pca_neutral,9,8.0,0.11111111111111116
2020-06-29,composite_pca_neutral,9,9.0,0.0
2020-06-30,composite_pca_neutral,9,8.0,0.11111111111111116
2020-07-01,composite_pca_neutral,9,7.0,0.2222222222222222
2020-07-02,composite_pca_neutral,9,7.0,0.2222222222222222
2020-07-03,composite_pca_neutral,9,8.0,0.11111111111111116
2020-07-06,composite_pca_neutral,9,5.0,0.4444444444444444
2020-07-07,composite_pca_neutral,9,8.0,0.11111111111111116
2020-07-08,composite_pca_neutral,9,7.0,0.2222222222222222
2020-07-09,composite_pca_neutral,9,7.0,0.2222222222222222
2020-07-10,composite_pca_neutral,9,8.0,0.11111111111111116
2020-07-13,composite_pca_neutral,9,7.0,0.2222222222222222
2020-07-14,composite_pca_neutral,9,6.0,0.33333333333333337
2020-07-15,composite_pca_neutral,9,6.0,0.33333333333333337
2020-07-16,composite_pca_neutral,9,6.0,0.33333333333333337
2020-07-17,composite_pca_neutral,9,6.0,0.33333333333333337
2020-07-20,composite_pca_neutral,9,0.0,1.0
2020-07-21,composite_pca_neutral,9,5.0,0.4444444444444444
2020-07-22,composite_pca_neutral,9,8.0,0.11111111111111116
2020-07-23,composite_pca_neutral,9,7.0,0.2222222222222222
2020-07-24,composite_pca_neutral,9,5.0,0.4444444444444444
2020-07-27,composite_pca_neutral,9,0.0,1.0
2020-07-28,composite_pca_neutral,9,0.0,1.0
2020-07-29,composite_pca_neutral,9,0.0,1.0
2020-07-30,composite_pca_neutral,9,6.0,0.33333333333333337
2020-07-31,composite_pca_neutral,9,5.0,0.4444444444444444
2020-08-03,composite_pca_neutral,9,8.0,0.11111111111111116
2020-08-04,composite_pca_neutral,9,8.0,0.11111111111111116
2020-08-05,composite_pca_neutral,9,8.0,0.11111111111111116
2020-08-06,composite_pca_neutral,9,7.0,0.2222222222222222
2020-08-07,composite_pca_neutral,9,8.0,0.11111111111111116
2020-08-10,composite_pca_neutral,9,7.0,0.2222222222222222
2020-08-11,composite_pca_neutral,9,9.0,0.0
2020-08-12,composite_pca_neutral,9,7.0,0.2222222222222222
2020-08-13,composite_pca_neutral,9,9.0,0.0
2020-08-14,composite_pca_neutral,9,8.0,0.11111111111111116
2020-08-17,composite_pca_neutral,9,4.0,0.5555555555555556
2020-08-18,composite_pca_neutral,9,7.0,0.2222222222222222
2020-08-19,composite_pca_neutral,9,7.0,0.2222222222222222
2020-08-20,composite_pca_neutral,9,7.0,0.2222222222222222
2020-08-21,composite_pca_neutral,9,7.0,0.2222222222222222
2020-08-24,composite_pca_neutral,9,7.0,0.2222222222222222
2020-08-25,composite_pca_neutral,9,7.0,0.2222222222222222
2020-08-26,composite_pca_neutral,9,7.0,0.2222222222222222
2020-08-27,composite_pca_neutral,9,7.0,0.2222222222222222
2020-08-28,composite_pca_neutral,9,7.0,0.2222222222222222
2020-08-31,composite_pca_neutral,9,8.0,0.11111111111111116
2020-09-01,composite_pca_neutral,9,7.0,0.2222222222222222
2020-09-02,composite_pca_neutral,9,8.0,0.11111111111111116
2020-09-03,composite_pca_neutral,9,9.0,0.0
2020-09-04,composite_pca_neutral,9,8.0,0.11111111111111116
2020-09-07,composite_pca_neutral,9,7.0,0.2222222222222222
2020-09-08,composite_pca_neutral,9,9.0,0.0
2020-09-09,composite_pca_neutral,9,7.0,0.2222222222222222
2020-09-10,composite_pca_neutral,9,7.0,0.2222222222222222
2020-09-11,composite_pca_neutral,9,7.0,0.2222222222222222
2020-09-14,composite_pca_neutral,9,8.0,0.11111111111111116
2020-09-15,composite_pca_neutral,9,3.0,0.6666666666666667
2020-09-16,composite_pca_neutral,9,6.0,0.33333333333333337
2020-09-17,composite_pca_neutral,9,6.0,0.33333333333333337
2020-09-18,composite_pca_neutral,9,6.0,0.33333333333333337
2020-09-21,composite_pca_neutral,9,7.0,0.2222222222222222
2020-09-22,composite_pca_neutral,9,7.0,0.2222222222222222
2020-09-23,composite_pca_neutral,9,6.0,0.33333333333333337
2020-09-24,composite_pca_neutral,9,8.0,0.11111111111111116
2020-09-25,composite_pca_neutral,9,8.0,0.11111111111111116
2020-09-28,composite_pca_neutral,9,8.0,0.11111111111111116
2020-09-29,composite_pca_neutral,9,8.0,0.11111111111111116
2020-09-30,composite_pca_neutral,9,7.0,0.2222222222222222
2020-10-09,composite_pca_neutral,9,9.0,0.0
2020-10-12,composite_pca_neutral,9,8.0,0.11111111111111116
2020-10-13,composite_pca_neutral,9,7.0,0.2222222222222222
2020-10-14,composite_pca_neutral,9,7.0,0.2222222222222222
2020-10-15,composite_pca_neutral,9,6.0,0.33333333333333337
2020-10-16,composite_pca_neutral,9,8.0,0.11111111111111116
2020-10-19,composite_pca_neutral,9,6.0,0.33333333333333337
2020-10-20,composite_pca_neutral,9,7.0,0.2222222222222222
2020-10-21,composite_pca_neutral,9,7.0,0.2222222222222222
2020-10-22,composite_pca_neutral,9,1.0,0.8888888888888888
2020-10-23,composite_pca_neutral,9,7.0,0.2222222222222222
2020-10-26,composite_pca_neutral,9,4.0,0.5555555555555556
2020-10-27,composite_pca_neutral,9,7.0,0.2222222222222222
2020-10-28,composite_pca_neutral,9,8.0,0.11111111111111116
2020-10-29,composite_pca_neutral,9,6.0,0.33333333333333337
2020-10-30,composite_pca_neutral,9,6.0,0.33333333333333337
2020-11-02,composite_pca_neutral,9,6.0,0.33333333333333337
2020-11-03,composite_pca_neutral,9,9.0,0.0
2020-11-04,composite_pca_neutral,9,8.0,0.11111111111111116
2020-11-05,composite_pca_neutral,9,6.0,0.33333333333333337
2020-11-06,composite_pca_neutral,9,6.0,0.33333333333333337
2020-11-09,composite_pca_neutral,9,2.0,0.7777777777777778
2020-11-10,composite_pca_neutral,9,3.0,0.6666666666666667
2020-11-11,composite_pca_neutral,9,0.0,1.0
2020-11-12,composite_pca_neutral,9,9.0,0.0
2020-11-13,composite_pca_neutral,9,7.0,0.2222222222222222
2020-11-16,composite_pca_neutral,9,5.0,0.4444444444444444
2020-11-17,composite_pca_neutral,9,9.0,0.0
2020-11-18,composite_pca_neutral,9,8.0,0.11111111111111116
2020-11-19,composite_pca_neutral,9,9.0,0.0
2020-11-20,composite_pca_neutral,9,8.0,0.11111111111111116
2020-11-23,composite_pca_neutral,9,9.0,0.0
2020-11-24,composite_pca_neutral,9,9.0,0.0
2020-11-25,composite_pca_neutral,9,8.0,0.11111111111111116
2020-11-26,composite_pca_neutral,9,7.0,0.2222222222222222
2020-11-27,composite_pca_neutral,9,8.0,0.11111111111111116
2020-11-30,composite_pca_neutral,9,7.0,0.2222222222222222
2020-12-01,composite_pca_neutral,9,7.0,0.2222222222222222
2020-12-02,composite_pca_neutral,9,8.0,0.11111111111111116
2020-12-03,composite_pca_neutral,9,9.0,0.0
2020-12-04,composite_pca_neutral,9,7.0,0.2222222222222222
2020-12-07,composite_pca_neutral,9,7.0,0.2222222222222222
2020-12-08,composite_pca_neutral,9,8.0,0.11111111111111116
2020-12-09,composite_pca_neutral,9,8.0,0.11111111111111116
2020-12-10,composite_pca_neutral,9,7.0,0.2222222222222222
2020-12-11,composite_pca_neutral,9,8.0,0.11111111111111116
2020-12-14,composite_pca_neutral,9,8.0,0.11111111111111116
2020-12-15,composite_pca_neutral,9,7.0,0.2222222222222222
2020-12-16,composite_pca_neutral,9,7.0,0.2222222222222222
2020-12-17,composite_pca_neutral,9,8.0,0.11111111111111116
2020-12-18,composite_pca_neutral,9,6.0,0.33333333333333337
2020-12-21,composite_pca_neutral,9,7.0,0.2222222222222222
2020-12-22,composite_pca_neutral,9,8.0,0.11111111111111116
2020-12-23,composite_pca_neutral,9,8.0,0.11111111111111116
2020-12-24,composite_pca_neutral,9,7.0,0.2222222222222222
2020-12-25,composite_pca_neutral,9,7.0,0.2222222222222222
2020-12-28,composite_pca_neutral,9,6.0,0.33333333333333337
2020-12-29,composite_pca_neutral,9,2.0,0.7777777777777778
2020-12-30,composite_pca_neutral,9,6.0,0.33333333333333337
2020-12-31,composite_pca_neutral,9,3.0,0.6666666666666667
2021-01-04,composite_pca_neutral,9,7.0,0.2222222222222222
2021-01-05,composite_pca_neutral,9,6.0,0.33333333333333337
2021-01-06,composite_pca_neutral,9,7.0,0.2222222222222222
2021-01-07,composite_pca_neutral,9,8.0,0.11111111111111116
2021-01-08,composite_pca_neutral,9,8.0,0.11111111111111116
2021-01-11,composite_pca_neutral,9,8.0,0.11111111111111116
2021-01-12,composite_pca_neutral,9,7.0,0.2222222222222222
2021-01-13,composite_pca_neutral,9,9.0,0.0
2021-01-14,composite_pca_neutral,9,7.0,0.2222222222222222
2021-01-15,composite_pca_neutral,9,9.0,0.0
2021-01-18,composite_pca_neutral,9,8.0,0.11111111111111116
2021-01-19,composite_pca_neutral,9,7.0,0.2222222222222222
2021-01-20,composite_pca_neutral,9,9.0,0.0
2021-01-21,composite_pca_neutral,9,8.0,0.11111111111111116
2021-01-22,composite_pca_neutral,9,8.0,0.11111111111111116
2021-01-25,composite_pca_neutral,9,7.0,0.2222222222222222
2021-01-26,composite_pca_neutral,9,9.0,0.0
2021-01-27,composite_pca_neutral,9,8.0,0.11111111111111116
2021-01-28,composite_pca_neutral,9,9.0,0.0
2021-01-29,composite_pca_neutral,9,8.0,0.11111111111111116
2021-02-01,composite_pca_neutral,9,8.0,0.11111111111111116
2021-02-02,composite_pca_neutral,9,7.0,0.2222222222222222
2021-02-03,composite_pca_neutral,9,8.0,0.11111111111111116
2021-02-04,composite_pca_neutral,9,8.0,0.11111111111111116
2021-02-05,composite_pca_neutral,9,7.0,0.2222222222222222
2021-02-08,composite_pca_neutral,9,8.0,0.11111111111111116
2021-02-09,composite_pca_neutral,9,8.0,0.11111111111111116
2021-02-10,composite_pca_neutral,9,8.0,0.11111111111111116
2021-02-18,composite_pca_neutral,9,8.0,0.11111111111111116
2021-02-19,composite_pca_neutral,9,7.0,0.2222222222222222
2021-02-22,composite_pca_neutral,9,6.0,0.33333333333333337
2021-02-23,composite_pca_neutral,9,6.0,0.33333333333333337
2021-02-24,composite_pca_neutral,9,8.0,0.11111111111111116
2021-02-25,composite_pca_neutral,9,7.0,0.2222222222222222
2021-02-26,composite_pca_neutral,9,8.0,0.11111111111111116
2021-03-01,composite_pca_neutral,9,7.0,0.2222222222222222
2021-03-02,composite_pca_neutral,9,8.0,0.11111111111111116
2021-03-03,composite_pca_neutral,9,6.0,0.33333333333333337
2021-03-04,composite_pca_neutral,9,8.0,0.11111111111111116
2021-03-05,composite_pca_neutral,9,8.0,0.11111111111111116
2021-03-08,composite_pca_neutral,9,4.0,0.5555555555555556
2021-03-09,composite_pca_neutral,9,7.0,0.2222222222222222
2021-03-10,composite_pca_neutral,9,7.0,0.2222222222222222
2021-03-11,composite_pca_neutral,9,6.0,0.33333333333333337
2021-03-12,composite_pca_neutral,9,9.0,0.0
2021-03-15,composite_pca_neutral,9,9.0,0.0
2021-03-16,composite_pca_neutral,9,7.0,0.2222222222222222
2021-03-17,composite_pca_neutral,9,7.0,0.2222222222222222
2021-03-18,composite_pca_neutral,9,7.0,0.2222222222222222
2021-03-19,composite_pca_neutral,9,6.0,0.33333333333333337
2021-03-22,composite_pca_neutral,9,5.0,0.4444444444444444
2021-03-23,composite_pca_neutral,9,8.0,0.11111111111111116
2021-03-24,composite_pca_neutral,9,7.0,0.2222222222222222
2021-03-25,composite_pca_neutral,9,8.0,0.11111111111111116
2021-03-26,composite_pca_neutral,9,7.0,0.2222222222222222
2021-03-29,composite_pca_neutral,9,8.0,0.11111111111111116
2021-03-30,composite_pca_neutral,9,6.0,0.33333333333333337
2021-03-31,composite_pca_neutral,9,8.0,0.11111111111111116
2021-04-01,composite_pca_neutral,9,8.0,0.11111111111111116
2021-04-02,composite_pca_neutral,9,7.0,0.2222222222222222
2021-04-06,composite_pca_neutral,9,7.0,0.2222222222222222
2021-04-07,composite_pca_neutral,9,7.0,0.2222222222222222
2021-04-08,composite_pca_neutral,9,7.0,0.2222222222222222
2021-04-09,composite_pca_neutral,9,7.0,0.2222222222222222
2021-04-12,composite_pca_neutral,9,3.0,0.6666666666666667
2021-04-13,composite_pca_neutral,9,0.0,1.0
2021-04-14,composite_pca_neutral,9,3.0,0.6666666666666667
2021-04-15,composite_pca_neutral,9,7.0,0.2222222222222222
2021-04-16,composite_pca_neutral,9,8.0,0.11111111111111116
2021-04-19,composite_pca_neutral,9,7.0,0.2222222222222222
2021-04-20,composite_pca_neutral,9,8.0,0.11111111111111116
2021-04-21,composite_pca_neutral,9,9.0,0.0
2021-04-22,composite_pca_neutral,9,8.0,0.11111111111111116
2021-04-23,composite_pca_neutral,9,7.0,0.2222222222222222
2021-04-26,composite_pca_neutral,9,8.0,0.11111111111111116
2021-04-27,composite_pca_neutral,9,9.0,0.0
2021-04-28,composite_pca_neutral,9,8.0,0.11111111111111116
2021-04-29,composite_pca_neutral,9,8.0,0.11111111111111116
2021-04-30,composite_pca_neutral,9,7.0,0.2222222222222222
2021-05-06,composite_pca_neutral,9,6.0,0.33333333333333337
2021-05-07,composite_pca_neutral,9,9.0,0.0
2021-05-10,composite_pca_neutral,9,8.0,0.11111111111111116
2021-05-11,composite_pca_neutral,9,7.0,0.2222222222222222
2021-05-12,composite_pca_neutral,9,7.0,0.2222222222222222
2021-05-13,composite_pca_neutral,9,8.0,0.11111111111111116
2021-05-14,composite_pca_neutral,9,7.0,0.2222222222222222
2021-05-17,composite_pca_neutral,9,9.0,0.0
2021-05-18,composite_pca_neutral,9,7.0,0.2222222222222222
2021-05-19,composite_pca_neutral,9,8.0,0.11111111111111116
2021-05-20,composite_pca_neutral,9,4.0,0.5555555555555556
2021-05-21,composite_pca_neutral,9,4.0,0.5555555555555556
2021-05-24,composite_pca_neutral,9,6.0,0.33333333333333337
2021-05-25,composite_pca_neutral,9,8.0,0.11111111111111116
2021-05-26,composite_pca_neutral,9,8.0,0.11111111111111116
2021-05-27,composite_pca_neutral,9,8.0,0.11111111111111116
2021-05-28,composite_pca_neutral,9,6.0,0.33333333333333337
2021-05-31,composite_pca_neutral,9,5.0,0.4444444444444444
2021-06-01,composite_pca_neutral,9,8.0,0.11111111111111116
2021-06-02,composite_pca_neutral,9,6.0,0.33333333333333337
2021-06-03,composite_pca_neutral,9,8.0,0.11111111111111116
2021-06-04,composite_pca_neutral,9,7.0,0.2222222222222222
2021-06-07,composite_pca_neutral,9,8.0,0.11111111111111116
2021-06-08,composite_pca_neutral,9,8.0,0.11111111111111116
2021-06-09,composite_pca_neutral,9,8.0,0.11111111111111116
2021-06-10,composite_pca_neutral,9,6.0,0.33333333333333337
2021-06-11,composite_pca_neutral,9,9.0,0.0
2021-06-15,composite_pca_neutral,9,8.0,0.11111111111111116
2021-06-16,composite_pca_neutral,9,7.0,0.2222222222222222
2021-06-17,composite_pca_neutral,9,6.0,0.33333333333333337
2021-06-18,composite_pca_neutral,9,6.0,0.33333333333333337
2021-06-21,composite_pca_neutral,9,7.0,0.2222222222222222
2021-06-22,composite_pca_neutral,9,5.0,0.4444444444444444
2021-06-23,composite_pca_neutral,9,5.0,0.4444444444444444
2021-06-24,composite_pca_neutral,9,7.0,0.2222222222222222
2021-06-25,composite_pca_neutral,9,6.0,0.33333333333333337
2021-06-28,composite_pca_neutral,9,7.0,0.2222222222222222
2021-06-29,composite_pca_neutral,9,8.0,0.11111111111111116
2021-06-30,composite_pca_neutral,9,9.0,0.0
2021-07-01,composite_pca_neutral,9,8.0,0.11111111111111116
2021-07-02,composite_pca_neutral,9,9.0,0.0
2021-07-05,composite_pca_neutral,9,8.0,0.11111111111111116
2021-07-06,composite_pca_neutral,9,7.0,0.2222222222222222
2021-07-07,composite_pca_neutral,9,8.0,0.11111111111111116
2021-07-08,composite_pca_neutral,9,7.0,0.2222222222222222
2021-07-09,composite_pca_neutral,9,7.0,0.2222222222222222
2021-07-12,composite_pca_neutral,9,9.0,0.0
2021-07-13,composite_pca_neutral,9,8.0,0.11111111111111116
2021-07-14,composite_pca_neutral,9,8.0,0.11111111111111116
2021-07-15,composite_pca_neutral,9,8.0,0.11111111111111116
2021-07-16,composite_pca_neutral,9,7.0,0.2222222222222222
2021-07-19,composite_pca_neutral,9,7.0,0.2222222222222222
2021-07-20,composite_pca_neutral,9,6.0,0.33333333333333337
2021-07-21,composite_pca_neutral,9,8.0,0.11111111111111116
2021-07-22,composite_pca_neutral,9,8.0,0.11111111111111116
2021-07-23,composite_pca_neutral,9,7.0,0.2222222222222222
2021-07-26,composite_pca_neutral,9,7.0,0.2222222222222222
2021-07-27,composite_pca_neutral,9,5.0,0.4444444444444444
2021-07-28,composite_pca_neutral,9,7.0,0.2222222222222222
2021-07-29,composite_pca_neutral,9,6.0,0.33333333333333337
2021-07-30,composite_pca_neutral,9,7.0,0.2222222222222222
2021-08-02,composite_pca_neutral,9,7.0,0.2222222222222222
2021-08-03,composite_pca_neutral,9,8.0,0.11111111111111116
2021-08-04,composite_pca_neutral,9,8.0,0.11111111111111116
2021-08-05,composite_pca_neutral,9,9.0,0.0
2021-08-06,composite_pca_neutral,9,8.0,0.11111111111111116
2021-08-09,composite_pca_neutral,9,6.0,0.33333333333333337
2021-08-10,composite_pca_neutral,9,7.0,0.2222222222222222
2021-08-11,composite_pca_neutral,9,9.0,0.0
2021-08-12,composite_pca_neutral,9,9.0,0.0
2021-08-13,composite_pca_neutral,9,8.0,0.11111111111111116
2021-08-16,composite_pca_neutral,9,7.0,0.2222222222222222
2021-08-17,composite_pca_neutral,9,8.0,0.11111111111111116
2021-08-18,composite_pca_neutral,9,7.0,0.2222222222222222
2021-08-19,composite_pca_neutral,9,9.0,0.0
2021-08-20,composite_pca_neutral,9,6.0,0.33333333333333337
2021-08-23,composite_pca_neutral,9,5.0,0.4444444444444444
2021-08-24,composite_pca_neutral,9,8.0,0.11111111111111116
2021-08-25,composite_pca_neutral,9,6.0,0.33333333333333337
2021-08-26,composite_pca_neutral,9,6.0,0.33333333333333337
2021-08-27,composite_pca_neutral,9,8.0,0.11111111111111116
2021-08-30,composite_pca_neutral,9,7.0,0.2222222222222222
2021-08-31,composite_pca_neutral,9,8.0,0.11111111111111116
2021-09-01,composite_pca_neutral,9,8.0,0.11111111111111116
2021-09-02,composite_pca_neutral,9,8.0,0.11111111111111116
2021-09-03,composite_pca_neutral,9,8.0,0.11111111111111116
2021-09-06,composite_pca_neutral,9,6.0,0.33333333333333337
2021-09-07,composite_pca_neutral,9,9.0,0.0
2021-09-08,composite_pca_neutral,9,4.0,0.5555555555555556
2021-09-09,composite_pca_neutral,9,5.0,0.4444444444444444
2021-09-10,composite_pca_neutral,9,7.0,0.2222222222222222
2021-09-13,composite_pca_neutral,9,6.0,0.33333333333333337
2021-09-14,composite_pca_neutral,9,7.0,0.2222222222222222
2021-09-15,composite_pca_neutral,9,9.0,0.0
2021-09-16,composite_pca_neutral,9,8.0,0.11111111111111116
2021-09-17,composite_pca_neutral,9,4.0,0.5555555555555556
2021-09-22,composite_pca_neutral,9,8.0,0.11111111111111116
2021-09-23,composite_pca_neutral,9,6.0,0.33333333333333337
2021-09-24,composite_pca_neutral,9,5.0,0.4444444444444444
2021-09-27,composite_pca_neutral,9,4.0,0.5555555555555556
2021-09-28,composite_pca_neutral,9,4.0,0.5555555555555556
2021-09-29,composite_pca_neutral,9,2.0,0.7777777777777778
2021-09-30,composite_pca_neutral,9,8.0,0.11111111111111116
2021-10-08,composite_pca_neutral,9,6.0,0.33333333333333337
2021-10-11,composite_pca_neutral,9,7.0,0.2222222222222222
2021-10-12,composite_pca_neutral,9,5.0,0.4444444444444444
2021-10-13,composite_pca_neutral,9,5.0,0.4444444444444444
2021-10-14,composite_pca_neutral,9,6.0,0.33333333333333337
2021-10-15,composite_pca_neutral,9,8.0,0.11111111111111116
2021-10-18,composite_pca_neutral,9,4.0,0.5555555555555556
2021-10-19,composite_pca_neutral,9,6.0,0.33333333333333337
2021-10-20,composite_pca_neutral,9,9.0,0.0
2021-10-21,composite_pca_neutral,9,8.0,0.11111111111111116
2021-10-22,composite_pca_neutral,9,8.0,0.11111111111111116
2021-10-25,composite_pca_neutral,9,7.0,0.2222222222222222
2021-10-26,composite_pca_neutral,9,6.0,0.33333333333333337
2021-10-27,composite_pca_neutral,9,7.0,0.2222222222222222
2021-10-28,composite_pca_neutral,9,7.0,0.2222222222222222
2021-10-29,composite_pca_neutral,9,8.0,0.11111111111111116
2021-11-01,composite_pca_neutral,9,8.0,0.11111111111111116
2021-11-02,composite_pca_neutral,9,9.0,0.0
2021-11-03,composite_pca_neutral,9,8.0,0.11111111111111116
2021-11-04,composite_pca_neutral,9,8.0,0.11111111111111116
2021-11-05,composite_pca_neutral,9,8.0,0.11111111111111116
2021-11-08,composite_pca_neutral,9,7.0,0.2222222222222222
2021-11-09,composite_pca_neutral,9,8.0,0.11111111111111116
2021-11-10,composite_pca_neutral,9,7.0,0.2222222222222222
2021-11-11,composite_pca_neutral,9,9.0,0.0
2021-11-12,composite_pca_neutral,9,8.0,0.11111111111111116
2021-11-15,composite_pca_neutral,9,7.0,0.2222222222222222
2021-11-16,composite_pca_neutral,9,3.0,0.6666666666666667
2021-11-17,composite_pca_neutral,9,0.0,1.0
2021-11-18,composite_pca_neutral,9,5.0,0.4444444444444444
2021-11-19,composite_pca_neutral,9,8.0,0.11111111111111116
2021-11-22,composite_pca_neutral,9,8.0,0.11111111111111116
2021-11-23,composite_pca_neutral,9,7.0,0.2222222222222222
2021-11-24,composite_pca_neutral,9,8.0,0.11111111111111116
2021-11-25,composite_pca_neutral,9,8.0,0.11111111111111116
2021-11-26,composite_pca_neutral,9,8.0,0.11111111111111116
2021-11-29,composite_pca_neutral,9,8.0,0.11111111111111116
2021-11-30,composite_pca_neutral,9,7.0,0.2222222222222222
2021-12-01,composite_pca_neutral,9,7.0,0.2222222222222222
2021-12-02,composite_pca_neutral,9,6.0,0.33333333333333337
2021-12-03,composite_pca_neutral,9,7.0,0.2222222222222222
2021-12-06,composite_pca_neutral,9,7.0,0.2222222222222222
2021-12-07,composite_pca_neutral,9,6.0,0.33333333333333337
2021-12-08,composite_pca_neutral,9,8.0,0.11111111111111116
2021-12-09,composite_pca_neutral,9,7.0,0.2222222222222222
2021-12-10,composite_pca_neutral,9,8.0,0.11111111111111116
2021-12-13,composite_pca_neutral,9,7.0,0.2222222222222222
2021-12-14,composite_pca_neutral,9,7.0,0.2222222222222222
2021-12-15,composite_pca_neutral,9,7.0,0.2222222222222222
2021-12-16,composite_pca_neutral,9,5.0,0.4444444444444444
2021-12-17,composite_pca_neutral,9,5.0,0.4444444444444444
2021-12-20,composite_pca_neutral,9,7.0,0.2222222222222222
2021-12-21,composite_pca_neutral,9,7.0,0.2222222222222222
2021-12-22,composite_pca_neutral,9,7.0,0.2222222222222222
2021-12-23,composite_pca_neutral,9,9.0,0.0
2021-12-24,composite_pca_neutral,9,8.0,0.11111111111111116
2021-12-27,composite_pca_neutral,9,6.0,0.33333333333333337
2021-12-28,composite_pca_neutral,9,7.0,0.2222222222222222
2021-12-29,composite_pca_neutral,9,7.0,0.2222222222222222
2021-12-30,composite_pca_neutral,9,7.0,0.2222222222222222
2021-12-31,composite_pca_neutral,9,7.0,0.2222222222222222
2022-01-04,composite_pca_neutral,9,8.0,0.11111111111111116
2022-01-05,composite_pca_neutral,9,5.0,0.4444444444444444
2022-01-06,composite_pca_neutral,9,7.0,0.2222222222222222
2022-01-07,composite_pca_neutral,9,7.0,0.2222222222222222
2022-01-10,composite_pca_neutral,9,8.0,0.11111111111111116
2022-01-11,composite_pca_neutral,9,7.0,0.2222222222222222
2022-01-12,composite_pca_neutral,9,3.0,0.6666666666666667
2022-01-13,composite_pca_neutral,9,7.0,0.2222222222222222
2022-01-14,composite_pca_neutral,9,7.0,0.2222222222222222
2022-01-17,composite_pca_neutral,9,8.0,0.11111111111111116
2022-01-18,composite_pca_neutral,9,8.0,0.11111111111111116
2022-01-19,composite_pca_neutral,9,7.0,0.2222222222222222
2022-01-20,composite_pca_neutral,9,5.0,0.4444444444444444
2022-01-21,composite_pca_neutral,9,7.0,0.2222222222222222
2022-01-24,composite_pca_neutral,9,7.0,0.2222222222222222
2022-01-25,composite_pca_neutral,9,7.0,0.2222222222222222
2022-01-26,composite_pca_neutral,9,8.0,0.11111111111111116
2022-01-27,composite_pca_neutral,9,7.0,0.2222222222222222
2022-01-28,composite_pca_neutral,9,7.0,0.2222222222222222
2022-02-07,composite_pca_neutral,9,7.0,0.2222222222222222
2022-02-08,composite_pca_neutral,9,9.0,0.0
2022-02-09,composite_pca_neutral,9,8.0,0.11111111111111116
2022-02-10,composite_pca_neutral,9,6.0,0.33333333333333337
2022-02-11,composite_pca_neutral,9,5.0,0.4444444444444444
2022-02-14,composite_pca_neutral,9,5.0,0.4444444444444444
2022-02-15,composite_pca_neutral,9,8.0,0.11111111111111116
2022-02-16,composite_pca_neutral,9,8.0,0.11111111111111116
2022-02-17,composite_pca_neutral,9,8.0,0.11111111111111116
2022-02-18,composite_pca_neutral,9,9.0,0.0
2022-02-21,composite_pca_neutral,9,8.0,0.11111111111111116
2022-02-22,composite_pca_neutral,9,8.0,0.11111111111111116
2022-02-23,composite_pca_neutral,9,7.0,0.2222222222222222
2022-02-24,composite_pca_neutral,9,8.0,0.11111111111111116
2022-02-25,composite_pca_neutral,9,8.0,0.11111111111111116
2022-02-28,composite_pca_neutral,9,8.0,0.11111111111111116
2022-03-01,composite_pca_neutral,9,9.0,0.0
2022-03-02,composite_pca_neutral,9,8.0,0.11111111111111116
2022-03-03,composite_pca_neutral,9,6.0,0.33333333333333337
2022-03-04,composite_pca_neutral,9,7.0,0.2222222222222222
2022-03-07,composite_pca_neutral,9,8.0,0.11111111111111116
2022-03-08,composite_pca_neutral,9,8.0,0.11111111111111116
2022-03-09,composite_pca_neutral,9,8.0,0.11111111111111116
2022-03-10,composite_pca_neutral,9,5.0,0.4444444444444444
2022-03-11,composite_pca_neutral,9,8.0,0.11111111111111116
2022-03-14,composite_pca_neutral,9,8.0,0.11111111111111116
2022-03-15,composite_pca_neutral,9,6.0,0.33333333333333337
2022-03-16,composite_pca_neutral,9,9.0,0.0
2022-03-17,composite_pca_neutral,9,8.0,0.11111111111111116
2022-03-18,composite_pca_neutral,9,7.0,0.2222222222222222
2022-03-21,composite_pca_neutral,9,7.0,0.2222222222222222
2022-03-22,composite_pca_neutral,9,9.0,0.0
